,Month,Year,Name,Account,Service,Cost,Enviroment
126,JUN,2025,Entercom Communications,724972922289,Amazon Relational Database Service,1122.6722618464,Environment$nonprod
127,JUN,2025,Entercom Communications,724972922289,Amazon Relational Database Service,3542.3381397678,Environment$prod
128,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,1069.2117381051,Environment$
129,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,0.1721436,Environment$Dev
130,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,0.1,Environment$Production
131,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,0.1,Environment$common
132,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,0.5,Environment$global
133,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,0.100171,Environment$loadtest
134,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,6.2350756,Environment$nonprod
135,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,8.2111918,Environment$prod
136,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,0.1001474,Environment$sandbox
137,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,0.100015,Environment$stg
138,JUN,2025,Entercom Communications,724972922289,Amazon Route 53,0.1,Environment$test
139,JUN,2025,Entercom Communications,724972922289,Amazon SageMaker,625.2528096983,Environment$
140,JUN,2025,Entercom Communications,724972922289,Amazon Simple Email Service,8.2792289437,Environment$
141,JUN,2025,Entercom Communications,724972922289,Amazon Simple Notification Service,9.1155207397,Environment$
142,JUN,2025,Entercom Communications,724972922289,Amazon Simple Notification Service,0.0042219733,Environment$Common
143,JUN,2025,Entercom Communications,724972922289,Amazon Simple Notification Service,0.0005455,Environment$Production
144,JUN,2025,Entercom Communications,724972922289,Amazon Simple Notification Service,3.5e-06,Environment$Sandbox
145,JUN,2025,Entercom Communications,724972922289,Amazon Simple Notification Service,0.0005465,Environment$prod
146,JUN,2025,Entercom Communications,724972922289,Amazon Simple Queue Service,17.4949037476,Environment$
147,JUN,2025,Entercom Communications,724972922289,Amazon Simple Queue Service,5.28e-05,Environment$dev
148,JUN,2025,Entercom Communications,724972922289,Amazon Simple Queue Service,0.6755396997,Environment$nonprod
149,JUN,2025,Entercom Communications,724972922289,Amazon Simple Queue Service,0.8937031936,Environment$prod
150,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,17049.7376130621,Environment$
151,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,0.0344014105,Environment$Common
152,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,0.0001237826,Environment$Dev
153,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,0.084486353,Environment$POC
154,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,0.0176036325,Environment$Production
155,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,0.0006637898,Environment$Sandbox
156,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,0.0013728063,Environment$common
157,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,11.6943588603,Environment$dev
158,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,0.0541490774,Environment$loadtest
159,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,935.7220403403,Environment$nonprod
160,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,1.3447410522,Environment$prd
161,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,9683.9641512911,Environment$prod
162,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,0.000650939,Environment$qa
163,JUN,2025,Entercom Communications,724972922289,Amazon Simple Storage Service,0.0016743951,Environment$stg
164,JUN,2025,Entercom Communications,724972922289,Amazon Simple Workflow Service,5.757e-07,Environment$
165,JUN,2025,Entercom Communications,724972922289,Amazon SimpleDB,6.9565e-06,Environment$
166,JUN,2025,Entercom Communications,724972922289,Amazon Virtual Private Cloud,5473.9708411646,Environment$
167,JUN,2025,Entercom Communications,724972922289,Amazon Virtual Private Cloud,0.000256945,Environment$Production
168,JUN,2025,Entercom Communications,724972922289,Amazon Virtual Private Cloud,89.8526482081,Environment$nonprod
169,JUN,2025,Entercom Communications,724972922289,Amazon Virtual Private Cloud,1.825,Environment$prd
170,JUN,2025,Entercom Communications,724972922289,Amazon Virtual Private Cloud,95.57,Environment$prod
171,JUN,2025,Entercom Communications,724972922289,Amazon Virtual Private Cloud,49.8501118865,Environment$shared
172,JUN,2025,Entercom Communications,724972922289,Amazon WorkSpaces,19.0,Environment$
173,JUN,2025,Entercom Communications,724972922289,AmazonCloudWatch,6563.4848373808,Environment$
174,JUN,2025,Entercom Communications,724972922289,AmazonCloudWatch,0.0008980151,Environment$Production
175,JUN,2025,Entercom Communications,724972922289,AmazonCloudWatch,455.5424038138,Environment$nonprod
176,JUN,2025,Entercom Communications,724972922289,AmazonCloudWatch,2135.9397112853,Environment$prod
177,JUN,2025,Entercom Communications,724972922289,AmazonWorkMail,99.905555474,Environment$
178,JUN,2025,Entercom Communications,724972922289,CloudWatch Events,1.3118849355,Environment$
179,JUN,2025,Entercom Communications,724972922289,Proofpoint Security [Private Offer Only],49929.72,Environment$
180,JUN,2025,Entercom Communications,724972922289,Savings Plans for AWS Compute usage,28800.0,Environment$
181,JUN,2025,Entercom Communications,724972922289,Tax,7517.26,Environment$
