,Unnamed: 0,Month,Year,Name,Account,Service,Cost,Enviroment,Month No
227,14,OCT,2023,Entercom Communications,724972922289,AWS Elemental MediaStore,0.000173724,,10
228,15,OCT,2023,Entercom Communications,724972922289,AWS End User Messaging,2.714999964,,10
229,16,OCT,2023,Entercom Communications,724972922289,AWS Global Accelerator,0.0,,10
230,17,OCT,2023,Entercom Communications,724972922289,AWS Global Accelerator,33.6710886201,,10
231,18,OCT,2023,Entercom Communications,724972922289,AWS Glue,12.7254044258,,10
232,19,OCT,2023,Entercom Communications,724972922289,AWS Key Management Service,146.5673613385,,10
233,20,OCT,2023,Entercom Communications,724972922289,AWS Key Management Service,1.825070269,,10
234,21,OCT,2023,Entercom Communications,724972922289,AWS Key Management Service,0.9030639348,,10
235,22,OCT,2023,Entercom Communications,724972922289,AWS Key Management Service,0.9059040582,,10
236,23,OCT,2023,Entercom Communications,724972922289,AWS Key Management Service,69.5422782514,,10
237,24,OCT,2023,Entercom Communications,724972922289,AWS Key Management Service,44.6335773646,,10
238,25,OCT,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8051343352,,10
239,26,OCT,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8067361074,,10
240,27,OCT,2023,Entercom Communications,724972922289,AWS Lambda,1468.0220415475,,10
241,28,OCT,2023,Entercom Communications,724972922289,AWS Lambda,17.3282105511,,10
242,29,OCT,2023,Entercom Communications,724972922289,AWS Lambda,0.0424742691,,10
243,30,OCT,2023,Entercom Communications,724972922289,AWS Lambda,54.4394217248,,10
244,31,OCT,2023,Entercom Communications,724972922289,AWS Lambda,4.9135633157,,10
245,32,OCT,2023,Entercom Communications,724972922289,AWS Lambda,7.3242909563,,10
246,33,OCT,2023,Entercom Communications,724972922289,AWS Lambda,2.4433202307,,10
247,34,OCT,2023,Entercom Communications,724972922289,AWS Lambda,0.0002075733,,10
248,35,OCT,2023,Entercom Communications,724972922289,AWS Lambda,2.7958396171,,10
249,36,OCT,2023,Entercom Communications,724972922289,AWS Secrets Manager,122.7884610435,,10
250,37,OCT,2023,Entercom Communications,724972922289,AWS Secrets Manager,1.839516575,,10
251,38,OCT,2023,Entercom Communications,724972922289,AWS Secrets Manager,0.004113225,,10
252,39,OCT,2023,Entercom Communications,724972922289,AWS Security Hub,437.98773675,,10
253,40,OCT,2023,Entercom Communications,724972922289,AWS Service Catalog,0.0,,10
254,41,OCT,2023,Entercom Communications,724972922289,AWS Step Functions,0.0012164663,,10
255,42,OCT,2023,Entercom Communications,724972922289,AWS Support (Enterprise),39961.26,,10
256,43,OCT,2023,Entercom Communications,724972922289,AWS Systems Manager,0.143262405,,10
257,44,OCT,2023,Entercom Communications,724972922289,AWS Transfer Family,207.1219525184,,10
258,45,OCT,2023,Entercom Communications,724972922289,AWS WAF,115.7189220615,,10
259,46,OCT,2023,Entercom Communications,724972922289,AWS WAF,19.0056106974,,10
260,47,OCT,2023,Entercom Communications,724972922289,AWS WAF,19.0051448034,,10
261,48,OCT,2023,Entercom Communications,724972922289,AWS X-Ray,61.26606374,,10
262,49,OCT,2023,Entercom Communications,724972922289,Amazon API Gateway,68.2076730239,,10
263,50,OCT,2023,Entercom Communications,724972922289,Amazon API Gateway,5.1814e-05,,10
